_id,FHRSID,ChangesByServerID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,Phone,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,scores,SchemeType,geocode,RightToReply,Distance,NewRatingPending,meta,links
676ee56977c2ee147875cf19,329113,0,03260/0075/0/000,The Croft Day Nursery,Caring Premises,5,75 Woolwich Road,Abbey Wood,London,,SE2 0DY,,5,fhrs_5_en-gb,2019-09-02T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.136519, 'latitude': 51.482981}",,4645.185333904148,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/329113'}]"
676ee56977c2ee147875cf1f,329114,0,03260/2001/2/000,Belvedere Sports & Social Club,Pub/bar/nightclub,7843,101A Woolwich Road,Abbey Wood,London,,SE2 0DY,,4,fhrs_4_en-gb,2019-01-10T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 10}",FHRS,"{'longitude': 0.136518, 'latitude': 51.482981}",,4645.185370358264,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/329114'}]"
676ee56977c2ee147875d09c,1402880,0,21/00281/CP,Independent Catering Management At Dulverton Primary School,School/college/university,7845,Dulverton School,Dulverton Road,London,,SE9 3RH,,5,fhrs_5_en-gb,2021-11-17T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.0809898, 'latitude': 51.4354901}",,4645.46991106295,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1402880'}]"
676ee56977c2ee147875d122,975472,0,17/00162/CP,Abbey Good Coffee,Restaurant/Cafe/Canteen,1,Lesnes Abbey Lodge,New Road,London,,SE2 0AX,,4,fhrs_4_en-gb,2019-06-21T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 10}",FHRS,"{'longitude': 0.120351999998093, 'latitude': 51.4794273376465}",,4645.644355142821,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/975472'}]"
676ee56977c2ee147875d125,1262185,0,20/00155/CP,Chestnuts Kiosk Limited,Restaurant/Cafe/Canteen,1,Lesnes Abbey Lodge,New Road,London,,SE2 0AX,,5,fhrs_5_en-gb,2020-08-25T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.120351999998093, 'latitude': 51.4794273376465}",,4645.644355142821,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1262185'}]"
676ee56977c2ee147875d293,687040,0,03190/0014/0/000,Brownes Chemist,Retailers - other,4613,14-16 Wilton Road,Abbey Wood,London,,SE2 9RH,,5,fhrs_5_en-gb,2020-11-13T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.121521, 'latitude': 51.49034}",,4646.002131458147,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/687040'}]"
676ee56977c2ee147875d2a6,610394,0,03190/0008/0/000,A W Foodhall,Retailers - other,4613,8 Wilton Road,Abbey Wood,London,,SE2 9RH,,5,fhrs_5_en-gb,2020-02-14T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.121087, 'latitude': 51.490312}",,4646.0169245593015,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/610394'}]"
676ee56977c2ee147875d308,1109051,0,19/00026/CP,BP Thamesmead Service Station,Retailers - other,4613,Service Station,Harrow Manorway,London,,SE2 9SA,,5,fhrs_5_en-gb,2021-10-21T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.12143100053072, 'latitude': 51.4933624267578}",,4646.1163169009105,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1109051'}]"
676ee56977c2ee147875d31f,1385124,0,14474,Alexander McLeod Primary School,School/college/university,7845,Fuchsia Street,,London,,SE2 0QS,,5,fhrs_5_en-gb,2021-09-10T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.113689996302128, 'latitude': 51.4864501953125}",,4646.1449049566645,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1385124'}]"
676ee56977c2ee147875d3c6,1256695,0,20/00134/CP,Lakeside Nursery,Caring Premises,5,Lakeside Complex,2 Bazalgette Way,London,,SE2 9AN,,4,fhrs_4_en-gb,2021-07-13T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 10}",FHRS,"{'longitude': 0.1240915, 'latitude': 51.5010668}",,4646.302081328468,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1256695'}]"
